,name,info,image
0,Новогодний подарок Дракоша,"Россия, 1 шт",Новогодний подарок Дракоша.png
1,Водка особая Барристер Симпл Молт,"Россия, 0.5 л., 40%",Водка особая Барристер Симпл Молт.png
2,Вино Пиросмани Кахури Гвинис Марани красное полусухое,"Грузия, 0.75 л., Кахети, 11.5%",Вино Пиросмани Кахури Гвинис Марани красное полусухое.png
3,Джин Финч Мэджик Аладдин,"Россия, 0.5 л., 40%",Джин Финч Мэджик Аладдин.png
4,Вино Пьетраме Монтепульчано ДАбруццо DOP красное полусухое,"Италия, 0.75 л., Абруццо, 13%",Вино Пьетраме Монтепульчано ДАбруццо DOP красное полусухое.png
5,Вино Катарсис Рэд Бленд красное сухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Вино Катарсис Рэд Бленд красное сухое.png
6,Вино Катарсис Дарк Бленд красное сухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Вино Катарсис Дарк Бленд красное сухое.png
7,Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,"Италия, 0.75 л., Абруццо, 12.5%",Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое.png
8,Вино Гармония Винария Вера белое сухое,"Босния и Герцеговина, 0.75 л., Требинье, 13.5%",Вино Гармония Винария Вера белое сухое.png
9,Напиток спиртной на основе коньяка Арарат со вкусом меда,"Армения, 0.5 л., 30%",Напиток спиртной на основе коньяка Арарат со вкусом меда.png
10,Плодовая алкогольная продукция гранатовая Шато Арени Гранат красная полусладкая,"Армения, 0.75 л., 12%",Плодовая алкогольная продукция гранатовая Шато Арени Гранат красная полусладкая.png
11,Вино Коэльо Бранко белое сухое,"Португалия, 0.375 л., Полуостров Сетубал, 12%",Вино Коэльо Бранко белое сухое.png
12,Вино Коэльо Бранко красное сухое,"Португалия, 0.375 л., Полуостров Сетубал, 13%",Вино Коэльо Бранко красное сухое.png
13,Вино Коэльо Бранко белое сухое,"Португалия, 0.375 л., Полуостров Сетубал, 12%",Вино Коэльо Бранко белое сухое.png
14,Вино Серро Невадо Совиньон Блан белое сухое,"Чили, 0.75 л., 12.5%",Вино Серро Невадо Совиньон Блан белое сухое.png
15,Вино ликерное Портвейн Чашма белый,"Узбекистан, 0.75 л., 16%",Вино ликерное Портвейн Чашма белый.png
16,Вино ликерное Портвейн Ташкент красный,"Узбекистан, 0.75 л., 16%",Вино ликерное Портвейн Ташкент красный.png
17,Вино Пиросмани Ртвелиси красное полусухое,"Грузия, 0.75 л., Кахети, 12%",Вино Пиросмани Ртвелиси красное полусухое.png
18,Вино Бетанели Алазанская Долина белое полусладкое,"Грузия, 0.75 л., 12%",Вино Бетанели Алазанская Долина белое полусладкое.png
19,Вино Бетанели Алазанская Долина розовое полусладкое,"Грузия, 0.75 л., 12%",Вино Бетанели Алазанская Долина розовое полусладкое.png
20,Вино Бетанели Алазанская Долина красное полусладкое,"Грузия, 0.75 л., 12%",Вино Бетанели Алазанская Долина красное полусладкое.png
21,Вино Ркацители Ртвелиси белое сухое,"Грузия, 0.75 л., 13%",Вино Ркацители Ртвелиси белое сухое.png
22,Вино Бетанели Саперави красное сухое,"Грузия, 0.75 л., Кахети, 12%",Вино Бетанели Саперави красное сухое.png
23,Вино Энгельшайн Либлих белое полусладкое,"Германия, 0.75 л., 9.5%",Вино Энгельшайн Либлих белое полусладкое.png
24,Вино Барбера дАсти DOCG красное сухое,"Италия, 0.75 л., Пьемонт, 13%",Вино Барбера дАсти DOCG красное сухое.png
25,Вино Пиросмани Кахури Гвинис Марани белое полусухое,"Грузия, 0.75 л., Кахети, 12%",Вино Пиросмани Кахури Гвинис Марани белое полусухое.png
26,Вино А Мон Гран Амур белое сухое,"Франция, 0.75 л., 11%",Вино А Мон Гран Амур белое сухое.png
27,Вино А Мон Гран Амур красное сухое,"Франция, 0.75 л., 11%",Вино А Мон Гран Амур красное сухое.png
28,Вино Бадагони Алазанская Долина белое полусладкое,"Грузия, 0.75 л., Кахети, 10.5%",Вино Бадагони Алазанская Долина белое полусладкое.png
29,Напиток Глинтвейн сладкий,"Германия, 1 л., 8.5%",Напиток Глинтвейн сладкий.png
30,Вино Бетанели Цинандали белое сухое,"Грузия, 0.75 л., Кахети, 12%",Вино Бетанели Цинандали белое сухое.png
31,Вино КабернеСаперави Кахури Гвинис Марани красное сухое,"Грузия, 0.75 л., Кахети, 12%",Вино КабернеСаперави Кахури Гвинис Марани красное сухое.png
32,Вино Серро Невадо Каберне Совиньон красное полусухое,"Чили, 0.75 л., Центральная Долина, 12.5%",Вино Серро Невадо Каберне Совиньон красное полусухое.png
33,Вино Алазанская Долина Бадагони красное полусладкое,"Грузия, 0.75 л., 10.5%",Вино Алазанская Долина Бадагони красное полусладкое.png
34,Вино Лизард МюллерТургау белое полусухое,"Германия, 0.75 л., Рейнхессен, 11%",Вино Лизард МюллерТургау белое полусухое.png
35,Вино Мучас Манос Крианса красное сухое,"Испания, 0.75 л., Ла Манча, 13%",Вино Мучас Манос Крианса красное сухое.png
36,Вино безалкогольное Бон Новель красное полусладкое,"Франция, 0.75 л.",Вино безалкогольное Бон Новель красное полусладкое.png
37,Вино безалкогольное Бон Новель белое полусладкое,"Франция, 0.75 л.",Вино безалкогольное Бон Новель белое полусладкое.png
38,Вино безалкогольное Бон Новель грейпфрут розовое полусладкое,"Франция, 0.75 л.",Вино безалкогольное Бон Новель грейпфрут розовое полусладкое.png
39,Вино Ристретто Апулия IGT красное полусухое,"Италия, 0.75 л., Апулия, 14%",Вино Ристретто Апулия IGT красное полусухое.png
40,Вино Мар и Луна Совиньон Блан Вердехо белое сухое,"Испания, 0.75 л., Кастилья Ла Манча, 12%",Вино Мар и Луна Совиньон Блан Вердехо белое сухое.png
41,Вино Вилла С Анна Треббьяно Рубиконе ИГТ белое полусухое,"Италия, 0.75 л., Эмилия-Романья, 11.5%",Вино Вилла С Анна Треббьяно Рубиконе ИГТ белое полусухое.png
42,Вино жемчужное Кашу Фрешку белое сухое,"Португалия, 0.75 л., Тежу, 11%",Вино жемчужное Кашу Фрешку белое сухое.png
43,Вино Пино Нуар Джоя Пеи Док красное сухое,"Франция, 0.75 л., Окситания, 12.5%",Вино Пино Нуар Джоя Пеи Док красное сухое.png
44,Вино жемчужное Кашу Фрешку розовое сухое,"Португалия, 0.75 л., Тежу, 11.5%",Вино жемчужное Кашу Фрешку розовое сухое.png
45,Вино Куен МальбекБонарда красное сухое,"Аргентина, 0.75 л., Мендоса, 13%",Вино Куен МальбекБонарда красное сухое.png
46,Вино Вакерисас Гарнача красное сухое,"Испания, 0.75 л., Кариньена, 14.5%",Вино Вакерисас Гарнача красное сухое.png
47,Вино Куен Шенен Шардоне белое сухое,"Аргентина, 0.75 л., Мендоса, 12%",Вино Куен Шенен Шардоне белое сухое.png
48,Вино Пиросмани Кахури Гвинис Марани красное полусухое,"Грузия, 0.75 л., Кахети, 11.5%",Вино Пиросмани Кахури Гвинис Марани красное полусухое.png
49,Вино Корпус Аструм красное полусухое,"Чили, 0.75 л., Центральная Долина, 12%",Вино Корпус Аструм красное полусухое.png
50,Вино Корпус Аструм белое полусухое,"Чили, 0.75 л., Центральная Долина, 12%",Вино Корпус Аструм белое полусухое.png
51,Вино Ртвелиси Мукузани красное сухое,"Грузия, 0.75 л., Кахети, 12%",Вино Ртвелиси Мукузани красное сухое.png
52,Вино Черсеги Фюсереш белое сухое,"Венгрия, 0.75 л., Дунай-Тиса, 11.5%",Вино Черсеги Фюсереш белое сухое.png
53,Вино Кюве Блан белое сухое,"Венгрия, 0.75 л., Дунай-Тиса, 11.5%",Вино Кюве Блан белое сухое.png
54,Вино Вилла САнна Санджовезе Марке ИГТ красное полусухое,"Италия, 0.75 л., Марке, 12%",Вино Вилла САнна Санджовезе Марке ИГТ красное полусухое.png
55,Вино Киндзмараули Ртвелиси красное полусладкое,"Грузия, 0.75 л., Кахети, 12.5%",Вино Киндзмараули Ртвелиси красное полусладкое.png
56,Вино Санта Лус Альба Карменер красное сухое,"Чили, 0.75 л., Центральная Долина, 13.5%",Вино Санта Лус Альба Карменер красное сухое.png
57,Вино Финка Лусон Пти Вердо красное сухое,"Испания, 0.75 л., Хумилья, 14.5%",Вино Финка Лусон Пти Вердо красное сухое.png
58,Вино Ромейра Резерва IGP Лиссабон красное полусухое,"Португалия, 0.75 л., Лиссабон, 13%",Вино Ромейра Резерва IGP Лиссабон красное полусухое.png
59,Вино Куумба Совиньон Блан белое сухое,"ЮАР, 0.75 л., Вестерн Кейп, 12.5%",Вино Куумба Совиньон Блан белое сухое.png
60,Вино Куумба Пинотаж красное полусухое,"ЮАР, 0.75 л., Вестерн Кейп, 13.5%",Вино Куумба Пинотаж красное полусухое.png
61,Вино Саперави Бадагони красное сухое,"Грузия, 0.75 л., Кахети, 13%",Вино Саперави Бадагони красное сухое.png
62,Вино Цинандали Бадагони белое сухое,"Грузия, 0.75 л., Кахети, 13%",Вино Цинандали Бадагони белое сухое.png
63,Вино Молоко Любимой Женщины белое полусладкое,"Германия, 0.75 л., Рейнхессен, 9.5%",Вино Молоко Любимой Женщины белое полусладкое.png
64,Вино Фонте Форте Бьянко Терре Ди Кьети Абруццо IGP белое сухое,"Италия, 0.75 л., Абруццо, 12%",Вино Фонте Форте Бьянко Терре Ди Кьети Абруццо IGP белое сухое.png
65,Вино Фонте Форте Россо Терре Ди Кьети Абруццо IGP красное сухое,"Италия, 0.75 л., Абруццо, 12.5%",Вино Фонте Форте Россо Терре Ди Кьети Абруццо IGP красное сухое.png
66,Вино Бас 9 Лиссабон IG красное полусухое,"Португалия, 0.75 л., Лиссабон, 13%",Вино Бас 9 Лиссабон IG красное полусухое.png
67,Вино Бас 9 Лиссабон IG белое полусухое,"Португалия, 0.75 л., Лиссабон, 13%",Вино Бас 9 Лиссабон IG белое полусухое.png
