name,price,address,pic_url,name_shop
Устройство IQOS 3 DUOS СИНИЙ,1 990.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa1kzIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--62523bf13b8fbf32c7f12ae850c3fa281cbabdb7/333c9229-4c3b-11ec-9a22-005056011b5d.jpeg,bristol
Устройство IQOS 3 DUOS ЧЕРНЫЙ,1 990.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc2dCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9e7cd357a59edcf908112f4bb3548ed6cf3715b6/333c922b-4c3b-11ec-9a22-005056011b5d.jpeg,bristol
Устройство LIL SOLID 2.0 ГРАФИТОВЫЙ,1 290.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdElVIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--46bf05758fa2590cb34f2bcbfc2729e456d16c4a/e5574f71-4eb6-11ec-9a22-005056011b5d.jpeg,bristol
Базовый набор JUUL SLATE,499.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2d3IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ffdaff1a2815a735f5068d12056aa32674623313/cae41d67-430c-11ec-9a22-005056011b5d.jpeg,bristol
Электронный испаритель MY BLU,199.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ0FhIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f9468bd67c73f448df65cc74a78148309152aaae/8c204fdb-31d3-11ec-8169-00155d420661.jpeg,bristol
Базовый набор MYLE,199.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaG8yIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e709bbd75f0793d314d3a33bb030a91e784e6b59/a2c72ff5-45ec-11ec-9a22-005056011b5d.jpeg,bristol
Базовый набор PONS ГРАФИТ,199.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb0V2IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5f201f493971955d22087e7010ce30d3ec7e5660/333c9225-4c3b-11ec-9a22-005056011b5d.jpeg,bristol
Моментальная лотерея РУССКОЕ ЛОТО 150,150.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL2NCSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b779d56cbec2e109ecc64e3ef43febdf706792b4/2ae3ecf4-c329-11ed-9a29-005056011b5d.jpeg,bristol
Лотерея ЖИЛИЩНАЯ ЛОТЕРЕЯ,150.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUVOIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cd87dbe462b1355abd805d3d1e4210b73648f0aa/b94d8133-58f5-11ec-9a22-005056011b5d.jpeg,bristol
Лотерея РУССКОЕ ЛОТО,150.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBalFOIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b718dad1b685e66df34beced83314beb41b21e87/d9cb08d4-31e5-11ec-8169-00155d420661.jpeg,bristol
Моментальная лотерея РУССКОЕ ЛОТО 100,100.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL3dCSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--54f8273d53ca5cc62801dba014dee2aebd927c82/d75fb2ca-c329-11ed-9a29-005056011b5d.jpeg,bristol
Спортлото 5 из 36,60.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUliIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4aef34c9dc4667e4069090e240a0471b1ae3fc54/2579603d-31df-11ec-8169-00155d420661.jpeg,bristol
Моментальная лотерея РУССКОЕ ЛОТО 50,50.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeXBJSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--28a95ef9678adfc9481e57b6e35eb896d543fc12/48ed6c6d-f304-11ed-9a2d-005056011b5d.jpeg,bristol
Спортлото 6 из 45,50.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaFFUIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3aabf8961119bdf6f970f5b279dc24a2f9326b97/2579603c-31df-11ec-8169-00155d420661.jpeg,bristol
Моментальная лотерея МАГИЯ ЗВЕЗД,30.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL1lCSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d9b869531af066f960e561bd9ce7892252eb8a4e/edcd37fc-c32b-11ed-9a29-005056011b5d.jpeg,bristol
Моментальная лотерея СЧАСТЛИВАЯ КАРТА,25.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL29CSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1b3fb72bb98cdec932e8e17d3a9a6e691c348bbb/848afb78-c329-11ed-9a29-005056011b5d.jpeg,bristol
Моментальная лотерея КАПИТАЛЪ,25.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczhHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--32d46a8ec43ca6e96626d5b2aecf6b18c4c84cd0/2c627473-31df-11ec-8169-00155d420661.jpeg,bristol
Моментальная лотерея 777,20.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ed0bfe13c44937f1bab16adadb0ef24c7c9824af/2c627472-31df-11ec-8169-00155d420661.jpeg,bristol
