plu,name,image_small,promo.date_begin,promo.date_end,promo.mech,promo.expired_at,prices.price_regular,prices.price_discount,prices.discount,is_new
3442578,PICNIC Батончик BIG 76г,products/mini_3442578.jpg,2023-09-26,2023-10-02,,0,79.99,59.99,25,False
3419777,Конфета Батончик PICNIC ГР.ОРЕХ шок.52г,products/mini_3419777.jpg,2023-09-26,2023-10-02,,0,69.99,49.99,28,False
3444677,СЛАВ.Конф.ОБЫКНОВ.ЧУДО слив.ваф.глаз.55г,products/mini_3444677.jpg,2023-09-26,2023-10-02,,0,49.98,29.99,39,False
3505362,KINDER Изд.конд.JOY 20г+игрушка,products/mini_3505362.jpg,2023-09-26,2023-10-02,,0,129.99,109.99,15,False
4110438,SOJ Батончик MARSHMAL.сол.кар.мол.шок30г,products/mini_4110438.jpg,2023-09-26,2023-10-02,,0,49.99,39.99,20,False
4240555,GOODMIX Кон.SAL.P.TAS.вк.сол.ар.хр.в.46г,products/mini_4240555.jpg,2023-09-26,2023-10-02,,0,54.99,39.99,27,False
4125041,SKITTLES Драже ФР.В.вк.лим/л/а/к/ч.см70г,products/mini_4125041.jpg,2023-09-14,2023-10-04,,2,87.19,69.99,19,False
4194684,ТРИ КОТА Шарики хрустящие в шок.гл.75г,,2023-09-14,2023-10-04,,2,95.99,69.99,27,False
17885,ЧУПА ЧУПС Карам.ЭКЗ-ТРОПИК с нат.сок.12г,products/mini_17885.jpg,2023-09-14,2023-10-04,,2,10.99,8.99,18,False
41334,БОН ПАРИ Леденцы АССОРТИ фруктовые 75г,products/mini_41334.jpg,2023-09-14,2023-10-04,,2,69.99,44.99,35,False
3498891,HALLS Карам.лед.мед/лимон 25г,products/mini_3498891.jpg,2023-09-14,2023-10-04,,2,44.99,39.99,11,False
3498892,HALLS Карам.COLORS АССОРТИ лед.25г,products/mini_3498892.jpg,2023-09-14,2023-10-04,,2,44.99,39.99,11,False
3498896,"HALLS Карам.МЕНТ.ЭКСТ.лед.мент/эвк.24,5г",products/mini_3498896.jpg,2023-09-14,2023-10-04,,2,44.99,39.99,11,False
3619012,WER.ORIG.Карамель слив.50г,products/mini_3619012.jpg,2023-09-14,2023-10-04,,2,69.99,49.99,28,False
4121693,CHUPA CHUPS Марм.РОЛ.экст.ап-лим.вк.150г,products/mini_4121693.jpg,2023-09-14,2023-10-04,,2,139.99,99.99,28,False
4124907,CHUPA CHUPS Карамель КИС.вк.яб/в/л/ап12г,products/mini_4124907.jpg,2023-09-14,2023-10-04,,2,9.99,7.99,20,False
4284962,LENCO Карамель МОНСТРИКИ АССОРТИ лед.11г,,2023-09-14,2023-10-04,,2,34.99,26.99,22,False
4096124,"MACCOFFEE Нап.CAP.DI TOR.коф.т.шок.25,5г",products/mini_4096124.jpg,2023-09-26,2023-10-02,,0,27.49,22.99,16,False
6134,MACCOFFEE Нап.коф.раств.3в1 м/у 20г,products/mini_6134.jpg,2023-09-14,2023-10-04,,2,16.49,13.99,15,False
70709,"PARMAL.Молоко пит.ул/стер.3,5% 1л",products/mini_70709.jpg,2023-09-26,2023-10-02,,0,129.99,84.99,34,False
3439471,"ПРАВ.МОЛ.Молоко паст.3,2-4% ПЭТ 2л",products/mini_3439471.jpg,2023-09-26,2023-10-02,,0,189.99,159.99,15,False
3485660,"С НАШЕЙ ФЕРМЫ Молоко ул/паст.3,2% 925мл",products/mini_3485660.jpg,2023-09-26,2023-10-02,,0,92.99,64.99,30,False
3645807,"САРАФ.Молоко ул/паст.дет.3,2% 970мл",products/mini_3645807.jpg,2023-09-26,2023-10-02,,0,89.99,64.99,27,False
3645808,"САРАФ.Молоко ул/паст.дет.2,5% 970мл",products/mini_3645808.jpg,2023-09-26,2023-10-02,,0,87.99,59.99,31,False
3341462,ЛЕТО Яйцо кур.С1 20шт,products/mini_3341462.jpg,2023-09-26,2023-10-02,,0,211.99,189.99,10,False
3366852,"САВУШ.Паста твор.черника 3,5% 120г",products/mini_3366852.jpg,2023-09-26,2023-10-02,,0,52.99,39.99,24,False
3473938,"САВУШ.Паста твор.дес.кокос/минд.3,5%120г",products/mini_3473938.jpg,2023-09-26,2023-10-02,,0,52.99,39.99,24,False
3495773,"ЦАРКА Йогурт киви 3,5% 400г",products/mini_3495773.jpg,2023-09-26,2023-10-02,,0,79.99,69.99,12,False
3638992,"САРАФ.Йогурт термостат.дет.1,5% 125г",products/mini_3638992.jpg,2023-09-26,2023-10-02,,0,25.99,19.99,23,False
3667312,"ВЕРХОВЬЕ Биотв.с перс.об.пр.дет4,2% 140г",products/mini_3667312.jpg,2023-09-26,2023-10-02,,0,54.99,34.99,36,False
3667315,"ВЕРХОВЬЕ Биотв.с кл-зем.об.пр.д.4,2%140г",products/mini_3667315.jpg,2023-09-26,2023-10-02,,0,54.99,34.99,36,False
3677375,"ЦАРКА Йог.с фр-яг.нап.землян.3,5% 400г",products/mini_3677375.jpg,2023-09-26,2023-10-02,,0,79.99,69.99,12,False
3680731,"ЦАРКА Йогурт с фр-яг.нап.манго 3,5% 400г",products/mini_3680731.jpg,2023-09-26,2023-10-02,,0,79.99,69.99,12,False
3685272,СЕЛО ЗЕЛ.Пудинг мол.вк.ванили 3% 120г,products/mini_3685272.jpg,2023-09-26,2023-10-02,,0,52.99,39.99,24,False
3685287,СЕЛО ЗЕЛ.Пудинг мол.шоколадный 3% 120г,products/mini_3685287.jpg,2023-09-26,2023-10-02,,0,52.99,39.99,24,False
3697858,"САВУШКИН Паста твор.вк.нап.Чиз.3,5% 120г",products/mini_3697858.jpg,2023-09-26,2023-10-02,,0,52.99,39.99,24,False
3974885,"БЗМЖ ВЕРХОВ.Биотв.виш/вк.минд.4,2% 140г",products/mini_3974885.jpg,2023-09-26,2023-10-02,,0,54.99,34.99,36,False
4087408,"ВЕРХОВЬЕ Биотв.мал/жим.об.дет.4,2% 140г",products/mini_4087408.jpg,2023-09-26,2023-10-02,,0,54.99,34.99,36,False
4123616,ЭКОНИВА Пр.ТВОРОЖОК тв.пер/абрик.5% 125г,,2023-09-26,2023-10-02,,0,57.99,44.99,22,False
4125516,ЭКОНИВА Прод.ТВОРОЖ.твор.мал/зем.5% 125г,,2023-09-26,2023-10-02,,0,57.99,44.99,22,False
4151762,"САВУШ.Паста КЛУБНИКА тв.дес.нап.3,5%120г",products/mini_4151762.jpg,2023-09-26,2023-10-02,,0,52.99,39.99,24,False
