web-scraper-order,web-scraper-start-url,catecories,catecories-href,product,product-href,name,price,pic_url-src,address,pic_url_slide-src
1698350297-1,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/5747,Устройство IQOS 3 DUOS СИНИЙ,1 990.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa1kzIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--62523bf13b8fbf32c7f12ae850c3fa281cbabdb7/333c9229-4c3b-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир пр-кт Ленина д.62,
1698350300-2,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/180,Устройство IQOS 3 DUOS ЧЕРНЫЙ,1 990.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc2dCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9e7cd357a59edcf908112f4bb3548ed6cf3715b6/333c922b-4c3b-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир пр-кт Ленина д.62,
1698350302-3,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/2098,Устройство LIL SOLID 2.0 СИНИЙ,1 290.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaVVVIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e60045e693e19e8b6842878e94eb960aca163b3a/e5574f6f-4eb6-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир пр-кт Ленина д.62,
1698350304-4,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/2161,Устройство LIL SOLID 2.0 ГРАФИТОВЫЙ,1 290.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdElVIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--46bf05758fa2590cb34f2bcbfc2729e456d16c4a/e5574f71-4eb6-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир пр-кт Ленина д.62,
1698350307-5,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/4773,Устройство GLO HYPER PLUS СИНИЙ,790.00 ₽,,Владим. обл. г.Владимир пр-кт Ленина д.62,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb3N0IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1003f3b371c218eb8b9c3cec87ca0c74fa2cdbb4/ffd7c9cf-31df-11ec-8169-00155d420661.jpeg
1698350309-6,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/4731,Устройство GLO HYPER PLUS ЧЕРНЫЙ,790.00 ₽,,Владим. обл. г.Владимир пр-кт Ленина д.62,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaWt0IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8b954edf7eb564f8f9bbbe619eed9cf00c774070/ffd7c9ce-31df-11ec-8169-00155d420661.jpeg
1698350312-7,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/522,Базовый набор JUUL RUBY,499.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdmdFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--36bf97859980c8f2bd595394db7293e8e797485f/cae41d69-430c-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир пр-кт Ленина д.62,
1698350314-8,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/5060,Базовый набор JUUL SLATE,499.00 ₽,,Владим. обл. г.Владимир пр-кт Ленина д.62,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2d3IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ffdaff1a2815a735f5068d12056aa32674623313/cae41d67-430c-11ec-9a22-005056011b5d.jpeg
1698350317-9,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/5643,Базовый набор MYLE,199.00 ₽,,Владим. обл. г.Владимир пр-кт Ленина д.62,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaG8yIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e709bbd75f0793d314d3a33bb030a91e784e6b59/a2c72ff5-45ec-11ec-9a22-005056011b5d.jpeg
1698350319-10,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/4980,Базовый набор PONS ГРАФИТ,199.00 ₽,,Владим. обл. г.Владимир пр-кт Ленина д.62,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb0V2IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5f201f493971955d22087e7010ce30d3ec7e5660/333c9225-4c3b-11ec-9a22-005056011b5d.jpeg
