web-scraper-order,web-scraper-start-url,catecories,catecories-href,product,product-href,name,price,pic_url-src,address,pic_url_slide-src
1698414185-1,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/5747,Устройство IQOS 3 DUOS СИНИЙ,1 990.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa1kzIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--62523bf13b8fbf32c7f12ae850c3fa281cbabdb7/333c9229-4c3b-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414195-2,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/180,Устройство IQOS 3 DUOS ЧЕРНЫЙ,1 990.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc2dCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9e7cd357a59edcf908112f4bb3548ed6cf3715b6/333c922b-4c3b-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414204-3,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/2098,Устройство LIL SOLID 2.0 СИНИЙ,1 290.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaVVVIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e60045e693e19e8b6842878e94eb960aca163b3a/e5574f6f-4eb6-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414213-4,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/2161,Устройство LIL SOLID 2.0 ГРАФИТОВЫЙ,1 290.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdElVIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--46bf05758fa2590cb34f2bcbfc2729e456d16c4a/e5574f71-4eb6-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414221-5,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/5060,Базовый набор JUUL SLATE,499.00 ₽,,Владим. обл. г.Владимир ул.850-летия д.6,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2d3IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ffdaff1a2815a735f5068d12056aa32674623313/cae41d67-430c-11ec-9a22-005056011b5d.jpeg
1698414230-6,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/397,Устройство PLOOM МОДЕЛЬ S ЧЕРНЫЙ,490.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdEFEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--961d0e535286984e6a643f29ed2a3f88c167e506/333c9230-4c3b-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414238-7,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/2742,Электронный испаритель MY BLU,199.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ0FhIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f9468bd67c73f448df65cc74a78148309152aaae/8c204fdb-31d3-11ec-8169-00155d420661.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414249-8,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/8775,Моментальная лотерея РУССКОЕ ЛОТО 150,150.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL2NCSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b779d56cbec2e109ecc64e3ef43febdf706792b4/2ae3ecf4-c329-11ed-9a29-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414257-9,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/1429,Лотерея ЖИЛИЩНАЯ ЛОТЕРЕЯ,150.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUVOIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cd87dbe462b1355abd805d3d1e4210b73648f0aa/b94d8133-58f5-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414266-10,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/1376,Лотерея РУССКОЕ ЛОТО,150.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBalFOIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b718dad1b685e66df34beced83314beb41b21e87/d9cb08d4-31e5-11ec-8169-00155d420661.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
