web-scraper-order,web-scraper-start-url,catecories,catecories-href,product,product-href,name,price,pic_url-src,address,pic_url_slide-src
1698539639-14,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/8776,Моментальная лотерея СЧАСТЛИВАЯ КАРТА,25.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL29CSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1b3fb72bb98cdec932e8e17d3a9a6e691c348bbb/848afb78-c329-11ed-9a29-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698539644-7,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/397,Устройство PLOOM МОДЕЛЬ S ЧЕРНЫЙ,490.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdEFEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--961d0e535286984e6a643f29ed2a3f88c167e506/333c9230-4c3b-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698539646-15,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/723,Моментальная лотерея КАПИТАЛЪ,25.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczhHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--32d46a8ec43ca6e96626d5b2aecf6b18c4c84cd0/2c627473-31df-11ec-8169-00155d420661.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698539648-1,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/5747,Устройство IQOS 3 DUOS СИНИЙ,1 990.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa1kzIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--62523bf13b8fbf32c7f12ae850c3fa281cbabdb7/333c9229-4c3b-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698539651-8,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/2742,Электронный испаритель MY BLU,199.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ0FhIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f9468bd67c73f448df65cc74a78148309152aaae/8c204fdb-31d3-11ec-8169-00155d420661.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698539653-16,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/680,Моментальная лотерея 777,20.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ed0bfe13c44937f1bab16adadb0ef24c7c9824af/2c627472-31df-11ec-8169-00155d420661.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698539655-2,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/180,Устройство IQOS 3 DUOS ЧЕРНЫЙ,1 990.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc2dCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9e7cd357a59edcf908112f4bb3548ed6cf3715b6/333c922b-4c3b-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698539658-9,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/5643,Базовый набор MYLE,199.00 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaG8yIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e709bbd75f0793d314d3a33bb030a91e784e6b59/a2c72ff5-45ec-11ec-9a22-005056011b5d.jpeg
1698539663-3,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/2098,Устройство LIL SOLID 2.0 СИНИЙ,1 290.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaVVVIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e60045e693e19e8b6842878e94eb960aca163b3a/e5574f6f-4eb6-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698539665-10,https://bristol.ru/catalog,Ploom Iqos Juul Glo…,https://bristol.ru/category/140,,https://bristol.ru/product/4980,Базовый набор PONS ГРАФИТ,199.00 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb0V2IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5f201f493971955d22087e7010ce30d3ec7e5660/333c9225-4c3b-11ec-9a22-005056011b5d.jpeg
