,Unnamed: 0,region,city,address,id,pic_url,name,category,link,price,all_prices,name_shop
0,0,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3855445,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/e47/8dhficzv5h9kvzrkoj5eec7669ifvpxs/261_225_1/drakoha_290823_t.jpg,"Новогодний подарок Дракоша
Россия, 1 шт",Спецпредложения,https://krasnoeibeloe.ru/catalog/__14/__15/novogodniy_podarok_drakosha/,399.99 ₽,399.99 ₽; ,КБ
1,1,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3842016,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/907/10avrtt2jat8u12j1485biokox7zhprb/261_225_1/barrister_sady_tomat.jpg,"Водка особая Барристер Симпл Молт
Россия, 0.5 л., 40%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vodka_nastoyki/vodka/vodka_osobaya_barrister_simpl_molt/,399.99 ₽,399.99 ₽; ,КБ
2,2,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3630598,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/dbb/zoe9s0rxsjqv6hgmf5tiex92bvpn73dx/261_225_1/gvinis_marani_pirosmani_14122022.jpg,"Вино Пиросмани Кахури Гвинис Марани красное полусухое
Грузия, 0.75 л., Кахети, 11.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_pirosmani_kakhuri_gvinis_marani_krasnoe_polusukhoe/,399.99 ₽,399.99 ₽; ,КБ
3,3,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3809904,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/049/s07zt3ubal10pbpsuqb7clh6aikdijhd/261_225_1/gin_finch_091023.jpg,"Джин Финч Мэджик Аладдин
Россия, 0.5 л., 40%",Спецпредложения,https://krasnoeibeloe.ru/catalog/rom_jin_tequila_liquor/dzhin/dzhin_finch_medzhik_aladdin/,449.99 ₽,449.99 ₽; ,КБ
4,4,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3659591,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/6ad/7cef3er08gorifxumyytz62f8w43yzux/261_225_1/pietrame_red_semdry_10012023.jpg,"Вино Пьетраме Монтепульчано Д`Абруццо DOP красное полусухое
Италия, 0.75 л., Абруццо, 13%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_sortovoe_petrame_montepulchano_d_abrutstso_reg_abrutstso_dop_kr_p_sukh/,569.99 ₽,569.99 ₽; ,КБ
5,5,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3816094,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/b21/juzb2giz22j3lfk6ezpjoq5q6vcu60hx/261_225_1/catahrsis_red_27072023.jpg,"Вино Катарсис Рэд Бленд красное сухое
Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_katarsis_red_blend_krasnoe_sukhoe/,599.99 ₽,599.99 ₽; ,КБ
6,6,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3816093,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/dce/7z49f7nqouzlywgfkdc25pvbo6gaesox/261_225_1/catahrsis_dark_27072023.jpg,"Вино Катарсис Дарк Бленд красное сухое
Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_katarsis_dari_blend_krasnoe_sukhoe/,599.99 ₽,599.99 ₽; ,КБ
7,7,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",2884301,https://krasnoeibeloe.ru/upload/iblock/634/Luka-Maroni-2.jpg,"Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое
Италия, 0.75 л., Абруццо, 12.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_petrame_pino_gridzho_igp_zashch_geogr_uk_bel_sukh/,599.99 ₽,599.99 ₽; ,КБ
8,8,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3779367,https://krasnoeibeloe.servicecdn.ru/local/templates/.default/img/offer.png,"Вино Гармония Винария Вера белое сухое
Босния и Герцеговина, 0.75 л., Требинье, 13.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_garmoniya_vinariya_vera_beloe_sukhoe/,689.99 ₽,689.99 ₽; ,КБ
9,9,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3841029,https://krasnoeibeloe.servicecdn.ru/local/templates/.default/img/offer.png,"Напиток спиртной на основе коньяка Арарат со вкусом меда
Армения, 0.5 л., 30%",Спецпредложения,https://krasnoeibeloe.ru/catalog/konyak_armanyak_brendi/konyak/napitok_spirtnoy_na_osnove_konyaka_ararat_so_vkusom_meda/,1189.99 ₽,1189.99 ₽; ,КБ
10,10,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3725943,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/115/ieaoc1cvg2jryddn7z2xqxm9eflat9o8/261_225_1/vino_granat_200323.jpg,"Плодовая алкогольная продукция гранатовая Шато Арени Гранат красная полусладкая
Армения, 0.75 л., 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/plodovaya_alkogolnaya_produktsiya_granatovaya_shato_areni_granat_krasnaya_polusladkaya_/,248.89 ₽,248.89 ₽; ,КБ
11,11,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3663668,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/b61/4z4yqhtlef7wvdjwwebyblo3qdd68232/261_225_1/coelhobranco_tinto_221122022.jpg,"Вино Коэльо Бранко красное сухое
Португалия, 0.375 л., Полуостров Сетубал, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_koelo_branko_igp_poluostrov_setubal_krasnoe_sukhoe/,289.90 ₽,289.90 ₽; ,КБ
12,12,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3440426,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/549/48oo3l1gwz2800samxsl34nir4dlfrfr/261_225_1/portvein_tashkent_2405202.jpg,"Вино ликерное Портвейн Ташкент красный
Узбекистан, 0.75 л., 16%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_likernoe_portveyn_tashkent_krasnyy/,299.99 ₽,299.99 ₽; ,КБ
13,13,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3440425,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/377/v0aq72ewzjpwl5o6f3055bkb3xsxf7ty/261_225_1/portvein_chashma_2405202.jpg,"Вино ликерное Портвейн Чашма белый
Узбекистан, 0.75 л., 16%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_likernoe_portveyn_chashma_belyy/,299.99 ₽,299.99 ₽; ,КБ
14,14,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3581252,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/b64/l5c1yloj29ip6t5albp8746z9dir2q5o/261_225_1/engelshein_030823.jpg,"Вино Энгельшайн Либлих белое полусладкое
Германия, 0.75 л., 9.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_engelshayn_liblikh_beloe_polusladkoe/,349.99 ₽,349.99 ₽; ,КБ
15,15,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3618494,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/bfe/e6wnkwoty88xmw2onht1tfp2x08x73n3/261_225_1/pirosmani_01122022.jpg,"Вино Пиросмани Кахури Гвинис Марани белое полусухое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_pirosmani_kakhuri_gvinis_marani_beloe_polusukhoe/,349.99 ₽,349.99 ₽; ,КБ
