,region,city,address,id,pic_url,name,category,link,price,all_prices
0,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3855445,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/5c7/qqbq178wndxep2vz0l2mbfo7g4t4gidf/261_225_1/drakoha_290823_t.jpg,"Новогодний подарок Дракоша
Россия, 1 шт",Спецпредложения,https://krasnoeibeloe.ru/catalog/__14/__15/novogodniy_podarok_drakosha/,399.99 ₽,399.99 ₽; 
1,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3809904,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/321/9rpd5pcr2g3l3jk9w6mus2ggdsi5bwb4/261_225_1/gin_finch_050723.jpg,"Джин Финч Мэджик Аладдин
Россия, 0.5 л., 40%",Спецпредложения,https://krasnoeibeloe.ru/catalog/rom_jin_tequila_liquor/dzhin/dzhin_finch_medzhik_aladdin/,449.99 ₽,449.99 ₽; 
2,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3492031,https://krasnoeibeloe.servicecdn.ru/local/templates/.default/img/offer.png,"Вино Ошторош Эгри Чиллаг белое сухое
Венгрия, 0.75 л., Верхняя Венгрия, 12%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_oshtorosh_egri_chillag_beloe_sukhoe_12/,499.99 ₽,499.99 ₽; 
3,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3474865,https://krasnoeibeloe.servicecdn.ru/local/templates/.default/img/offer.png,"Вино Ошторошбор Дебрей Харшлевелю белое полусухое
Венгрия, 0.75 л., Верхняя Венгрия, 12.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_oshtoroshbor_debrey_kharshlevelyu_beloe_polusukhoe/,499.99 ₽,499.99 ₽; 
4,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3474864,https://krasnoeibeloe.servicecdn.ru/local/templates/.default/img/offer.png,"Вино Ошторошбор Иршаи Оливер белое сухое
Венгрия, 0.75 л., Верхняя Венгрия, 11.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_oshtoroshbor_irshai_oliver_beloe_sukhoe/,499.99 ₽,499.99 ₽; 
5,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3816094,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/a32/bldx47aet8agxs2aocgmt4vavm31u1sz/261_225_1/catahrsis_red_27072023.jpg,"Вино Катарсис Рэд Бленд красное сухое
Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_katarsis_red_blend_krasnoe_sukhoe/,599.99 ₽,599.99 ₽; 
6,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3816093,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/632/oh39gyteyab8rze3ljp05pz4vwby86zd/261_225_1/catahrsis_dark_27072023.jpg,"Вино Катарсис Дарк Бленд красное сухое
Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_katarsis_dari_blend_krasnoe_sukhoe/,599.99 ₽,599.99 ₽; 
7,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3779367,https://krasnoeibeloe.servicecdn.ru/local/templates/.default/img/offer.png,"Вино Гармония Винария Вера белое сухое
Босния и Герцеговина, 0.75 л., Требинье, 13.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_garmoniya_vinariya_vera_beloe_sukhoe/,689.99 ₽,689.99 ₽; 
8,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3793515,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/6d3/wcjhgsacp6nox7wc3bv4w1ccdoq7udy4/261_225_1/umbria_rouge_070723.jpg,"Вино Умбрия Руж Иль де Боте Казанова красное сухое
Франция, 0.75 л., Корсика, 12.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_umbriya_ruzh_il_de_bote_kazanova_krasnoe_sukhoe/,699.99 ₽,699.99 ₽; 
9,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3793514,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/1b3/9dv3j1xs7fya0a38tntooj2ks1p0gprw/261_225_1/umbria_blan_070723.jpg,"Вино Умбрия Блан Иль де Боте Казанова белое сухое
Франция, 0.75 л., Корсика, 12%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_umbriya_blan_il_de_bote_kazanova_beloe_sukhoe/,699.99 ₽,699.99 ₽; 
