,region,city,address,id,pic_url,name,category,link,price,all_prices
0,Владимирская область,Владимир,"ул. Спасская, 1",3855445,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/e47/8dhficzv5h9kvzrkoj5eec7669ifvpxs/261_225_1/drakoha_290823_t.jpg,"Новогодний подарок Дракоша
Россия, 1 шт",Спецпредложения,https://krasnoeibeloe.ru/catalog/__14/__15/novogodniy_podarok_drakosha/,399.99 ₽,399.99 ₽; 
1,Владимирская область,Владимир,"ул. Спасская, 1",3630598,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/dbb/zoe9s0rxsjqv6hgmf5tiex92bvpn73dx/261_225_1/gvinis_marani_pirosmani_14122022.jpg,"Вино Пиросмани Кахури Гвинис Марани красное полусухое
Грузия, 0.75 л., Кахети, 11.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_pirosmani_kakhuri_gvinis_marani_krasnoe_polusukhoe/,399.99 ₽,399.99 ₽; 
2,Владимирская область,Владимир,"ул. Спасская, 1",3659591,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/6ad/7cef3er08gorifxumyytz62f8w43yzux/261_225_1/pietrame_red_semdry_10012023.jpg,"Вино Пьетраме Монтепульчано Д`Абруццо DOP красное полусухое
Италия, 0.75 л., Абруццо, 13%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_sortovoe_petrame_montepulchano_d_abrutstso_reg_abrutstso_dop_kr_p_sukh/,569.99 ₽,569.99 ₽; 
3,Владимирская область,Владимир,"ул. Спасская, 1",2884301,https://krasnoeibeloe.ru/upload/iblock/634/Luka-Maroni-2.jpg,"Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое
Италия, 0.75 л., Абруццо, 12.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_petrame_pino_gridzho_igp_zashch_geogr_uk_bel_sukh/,599.99 ₽,599.99 ₽; 
4,Владимирская область,Владимир,"ул. Спасская, 1",3725943,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/115/ieaoc1cvg2jryddn7z2xqxm9eflat9o8/261_225_1/vino_granat_200323.jpg,"Плодовая алкогольная продукция гранатовая Шато Арени Гранат красная полусладкая
Армения, 0.75 л., 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/plodovaya_alkogolnaya_produktsiya_granatovaya_shato_areni_granat_krasnaya_polusladkaya_/,248.89 ₽,248.89 ₽; 
5,Владимирская область,Владимир,"ул. Спасская, 1",3640473,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/0fa/30kdjw20l3pi32fy42zd36tr65zl06tp/261_225_1/coelhobranco_branco_22122022.jpg,"Вино Коэльо Бранко белое сухое
Португалия, 0.375 л., Полуостров Сетубал, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_koelo_branko_igp_poluostrov_setubal_sukhoe_beloe/,289.90 ₽,289.90 ₽; 
6,Владимирская область,Владимир,"ул. Спасская, 1",3663668,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/b61/4z4yqhtlef7wvdjwwebyblo3qdd68232/261_225_1/coelhobranco_tinto_221122022.jpg,"Вино Коэльо Бранко красное сухое
Португалия, 0.375 л., Полуостров Сетубал, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_koelo_branko_igp_poluostrov_setubal_krasnoe_sukhoe/,289.90 ₽,289.90 ₽; 
7,Владимирская область,Владимир,"ул. Спасская, 1",3440426,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/549/48oo3l1gwz2800samxsl34nir4dlfrfr/261_225_1/portvein_tashkent_2405202.jpg,"Вино ликерное Портвейн Ташкент красный
Узбекистан, 0.75 л., 16%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_likernoe_portveyn_tashkent_krasnyy/,299.99 ₽,299.99 ₽; 
8,Владимирская область,Владимир,"ул. Спасская, 1",3440425,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/377/v0aq72ewzjpwl5o6f3055bkb3xsxf7ty/261_225_1/portvein_chashma_2405202.jpg,"Вино ликерное Портвейн Чашма белый
Узбекистан, 0.75 л., 16%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_likernoe_portveyn_chashma_belyy/,299.99 ₽,299.99 ₽; 
9,Владимирская область,Владимир,"ул. Спасская, 1",3121791,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/a47/20hf2ltw2sl2o5ryuwkpyp404turgxav/261_225_1/alazanskaya_dolina_beloe_polusladk_140120.jpg,"Вино Бетанели Алазанская Долина белое полусладкое
Грузия, 0.75 л., 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_alazanskaya_dolina_stol_bel_p_sl/,329.99 ₽,329.99 ₽; 
