,Unnamed: 0,region,city,address,id,pic_url,name,category,link,price,all_prices,name_shop
0,0,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3855445,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/a1d/95m0nf8b2kw8zxhr4gtkemyk1lnuw94p/261_225_1/drakoha_290823_t.jpg,"Новогодний подарок Дракоша
Россия, 1 шт",Спецпредложения,https://krasnoeibeloe.ru/catalog/__14/__15/novogodniy_podarok_drakosha/,399.99 ₽,399.99 ₽; ,КБ
1,1,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3630598,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/4cf/56qx9ba2z7s3a0zlef6wg792l0gl24fy/261_225_1/gvinis_marani_pirosmani_14122022.jpg,"Вино Пиросмани Кахури Гвинис Марани красное полусухое
Грузия, 0.75 л., Кахети, 11.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_pirosmani_kakhuri_gvinis_marani_krasnoe_polusukhoe/,399.99 ₽,399.99 ₽; ,КБ
2,2,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3659591,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/ac0/1kyi7aj6b6vyl9o5wmhzdetjkjq6imys/261_225_1/pietrame_red_semdry_10012023.jpg,"Вино Пьетраме Монтепульчано Д`Абруццо DOP красное полусухое
Италия, 0.75 л., Абруццо, 13%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_sortovoe_petrame_montepulchano_d_abrutstso_reg_abrutstso_dop_kr_p_sukh/,569.99 ₽,569.99 ₽; ,КБ
3,3,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",2884301,https://krasnoeibeloe.ru/upload/iblock/634/Luka-Maroni-2.jpg,"Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое
Италия, 0.75 л., Абруццо, 12.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_petrame_pino_gridzho_igp_zashch_geogr_uk_bel_sukh/,599.99 ₽,599.99 ₽; ,КБ
4,4,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3725943,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/ee2/9kb0diotdwlgnzq7tx21lcmitg25x641/261_225_1/vino_granat_200323.jpg,"Плодовая алкогольная продукция гранатовая Шато Арени Гранат красная полусладкая
Армения, 0.75 л., 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/plodovaya_alkogolnaya_produktsiya_granatovaya_shato_areni_granat_krasnaya_polusladkaya_/,248.89 ₽,248.89 ₽; ,КБ
5,5,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3663668,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/702/0v5kw6vnhasy6u6vrmnoaitya1c8mguh/261_225_1/coelhobranco_tinto_221122022.jpg,"Вино Коэльо Бранко красное сухое
Португалия, 0.375 л., Полуостров Сетубал, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_koelo_branko_igp_poluostrov_setubal_krasnoe_sukhoe/,289.90 ₽,289.90 ₽; ,КБ
6,6,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3640473,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/db0/z20jre2wb6r43ec2413av0a8ezvfby37/261_225_1/coelhobranco_branco_22122022.jpg,"Вино Коэльо Бранко белое сухое
Португалия, 0.375 л., Полуостров Сетубал, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_koelo_branko_igp_poluostrov_setubal_sukhoe_beloe/,289.90 ₽,289.90 ₽; ,КБ
7,7,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3541360,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/f4b/ugezriwescw8xqkuljx5ss9871cgahx3/261_225_1/cerronevado_cabernet_sauvignon_03062022.jpg,"Вино Серро Невадо Каберне Совиньон красное полусухое
Чили, 0.75 л., Центральная Долина, 12.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_serro_nevado_kaberne_sovinon_krasnoe_polusukhoe_1/,298.89 ₽,298.89 ₽; ,КБ
8,8,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3440425,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/3d1/zmsp1ckh5995x6dghnbc5xvz775qmwb6/261_225_1/portvein_chashma_2405202.jpg,"Вино ликерное Портвейн Чашма белый
Узбекистан, 0.75 л., 16%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_likernoe_portveyn_chashma_belyy/,299.99 ₽,299.99 ₽; ,КБ
9,9,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3440426,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/2af/rg2zrhblzdmf2j572mhxl2jft3gtivqf/261_225_1/portvein_tashkent_2405202.jpg,"Вино ликерное Портвейн Ташкент красный
Узбекистан, 0.75 л., 16%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_likernoe_portveyn_tashkent_krasnyy/,299.99 ₽,299.99 ₽; ,КБ
10,10,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3121791,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/8d2/ui2fwqt7tckamsfr8sruxjyx6k2epfmk/261_225_1/alazanskaya_dolina_beloe_polusladk_140120.jpg,"Вино Бетанели Алазанская Долина белое полусладкое
Грузия, 0.75 л., 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_alazanskaya_dolina_stol_bel_p_sl/,329.99 ₽,329.99 ₽; ,КБ
11,11,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3121792,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/142/82ncznklu50nq1wtsw270wcks8aodc8a/261_225_1/alazanskaya_dolina_krasnoe_polusladkoe_140120.jpg,"Вино Бетанели Алазанская Долина красное полусладкое
Грузия, 0.75 л., 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_alazanskaya_dolina_stol_kr_p_sl/,329.99 ₽,329.99 ₽; ,КБ
12,12,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3121794,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/c62/2do789jakzbrwktp23qfrpwd8xpqcgv4/261_225_1/betaneli_saperavi_140120.jpg,"Вино Бетанели Саперави красное сухое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_saperavi_stol_kr_sukh/,349.99 ₽,349.99 ₽; ,КБ
13,13,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3581252,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/fba/uku26s73uutctn5dqapg2yevvl9mdjd8/261_225_1/engelshein_030823.jpg,"Вино Энгельшайн Либлих белое полусладкое
Германия, 0.75 л., 9.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_engelshayn_liblikh_beloe_polusladkoe/,349.99 ₽,349.99 ₽; ,КБ
