,name,info,image
0,НовогоднийподарокДракоша,"Россия, 1 шт",НовогоднийподарокДракоша.png
1,ВодкаособаяБарристерСимплМолт,"Россия, 0.5 л., 40%",ВодкаособаяБарристерСимплМолт.png
2,ВиноПиросманиКахуриГвинисМараникрасноеполусухое,"Грузия, 0.75 л., Кахети, 11.5%",ВиноПиросманиКахуриГвинисМараникрасноеполусухое.png
3,ДжинФинчМэджикАладдин,"Россия, 0.5 л., 40%",ДжинФинчМэджикАладдин.png
4,ВиноПьетрамеМонтепульчаноДАбруццоDOPкрасноеполусухое,"Италия, 0.75 л., Абруццо, 13%",ВиноПьетрамеМонтепульчаноДАбруццоDOPкрасноеполусухое.png
5,ВиноКатарсисРэдБлендкрасноесухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",ВиноКатарсисРэдБлендкрасноесухое.png
6,ВиноКатарсисДаркБлендкрасноесухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",ВиноКатарсисДаркБлендкрасноесухое.png
7,ВиноПьетрамеПиноГриджоТерредиКьетиАбруццоIGPбелоесухое,"Италия, 0.75 л., Абруццо, 12.5%",ВиноПьетрамеПиноГриджоТерредиКьетиАбруццоIGPбелоесухое.png
8,ВиноГармонияВинарияВерабелоесухое,"Босния и Герцеговина, 0.75 л., Требинье, 13.5%",ВиноГармонияВинарияВерабелоесухое.png
9,НапитокспиртнойнаосновеконьякаАраратсовкусоммеда,"Армения, 0.5 л., 30%",НапитокспиртнойнаосновеконьякаАраратсовкусоммеда.png
10,ПлодоваяалкогольнаяпродукциягранатоваяШатоАрениГранаткраснаяполусладкая,"Армения, 0.75 л., 12%",ПлодоваяалкогольнаяпродукциягранатоваяШатоАрениГранаткраснаяполусладкая.png
11,ВиноКоэльоБранкобелоесухое,"Португалия, 0.375 л., Полуостров Сетубал, 12%",ВиноКоэльоБранкобелоесухое.png
12,ВиноКоэльоБранкокрасноесухое,"Португалия, 0.375 л., Полуостров Сетубал, 13%",ВиноКоэльоБранкокрасноесухое.png
13,ВиноКоэльоБранкобелоесухое,"Португалия, 0.375 л., Полуостров Сетубал, 12%",ВиноКоэльоБранкобелоесухое.png
14,ВиноСерроНевадоСовиньонБланбелоесухое,"Чили, 0.75 л., 12.5%",ВиноСерроНевадоСовиньонБланбелоесухое.png
15,ВиноликерноеПортвейнЧашмабелый,"Узбекистан, 0.75 л., 16%",ВиноликерноеПортвейнЧашмабелый.png
16,ВиноликерноеПортвейнТашкенткрасный,"Узбекистан, 0.75 л., 16%",ВиноликерноеПортвейнТашкенткрасный.png
17,ВиноПиросманиРтвелисикрасноеполусухое,"Грузия, 0.75 л., Кахети, 12%",ВиноПиросманиРтвелисикрасноеполусухое.png
18,ВиноБетанелиАлазанскаяДолинабелоеполусладкое,"Грузия, 0.75 л., 12%",ВиноБетанелиАлазанскаяДолинабелоеполусладкое.png
19,ВиноБетанелиАлазанскаяДолинарозовоеполусладкое,"Грузия, 0.75 л., 12%",ВиноБетанелиАлазанскаяДолинарозовоеполусладкое.png
20,ВиноБетанелиАлазанскаяДолинакрасноеполусладкое,"Грузия, 0.75 л., 12%",ВиноБетанелиАлазанскаяДолинакрасноеполусладкое.png
21,ВиноРкацителиРтвелисибелоесухое,"Грузия, 0.75 л., 13%",ВиноРкацителиРтвелисибелоесухое.png
22,ВиноБетанелиСаперавикрасноесухое,"Грузия, 0.75 л., Кахети, 12%",ВиноБетанелиСаперавикрасноесухое.png
23,ВиноЭнгельшайнЛиблихбелоеполусладкое,"Германия, 0.75 л., 9.5%",ВиноЭнгельшайнЛиблихбелоеполусладкое.png
24,ВиноБарберадАстиDOCGкрасноесухое,"Италия, 0.75 л., Пьемонт, 13%",ВиноБарберадАстиDOCGкрасноесухое.png
25,ВиноПиросманиКахуриГвинисМаранибелоеполусухое,"Грузия, 0.75 л., Кахети, 12%",ВиноПиросманиКахуриГвинисМаранибелоеполусухое.png
26,ВиноАМонГранАмурбелоесухое,"Франция, 0.75 л., 11%",ВиноАМонГранАмурбелоесухое.png
27,ВиноАМонГранАмуркрасноесухое,"Франция, 0.75 л., 11%",ВиноАМонГранАмуркрасноесухое.png
28,ВиноБадагониАлазанскаяДолинабелоеполусладкое,"Грузия, 0.75 л., Кахети, 10.5%",ВиноБадагониАлазанскаяДолинабелоеполусладкое.png
29,НапитокГлинтвейнсладкий,"Германия, 1 л., 8.5%",НапитокГлинтвейнсладкий.png
30,ВиноБетанелиЦинандалибелоесухое,"Грузия, 0.75 л., Кахети, 12%",ВиноБетанелиЦинандалибелоесухое.png
31,ВиноКабернеСаперавиКахуриГвинисМараникрасноесухое,"Грузия, 0.75 л., Кахети, 12%",ВиноКабернеСаперавиКахуриГвинисМараникрасноесухое.png
32,ВиноСерроНевадоКабернеСовиньонкрасноеполусухое,"Чили, 0.75 л., Центральная Долина, 12.5%",ВиноСерроНевадоКабернеСовиньонкрасноеполусухое.png
33,ВиноАлазанскаяДолинаБадагоникрасноеполусладкое,"Грузия, 0.75 л., 10.5%",ВиноАлазанскаяДолинаБадагоникрасноеполусладкое.png
34,ВиноЛизардМюллерТургаубелоеполусухое,"Германия, 0.75 л., Рейнхессен, 11%",ВиноЛизардМюллерТургаубелоеполусухое.png
35,ВиноМучасМаносКриансакрасноесухое,"Испания, 0.75 л., Ла Манча, 13%",ВиноМучасМаносКриансакрасноесухое.png
36,ВинобезалкогольноеБонНовелькрасноеполусладкое,"Франция, 0.75 л.",ВинобезалкогольноеБонНовелькрасноеполусладкое.png
37,ВинобезалкогольноеБонНовельбелоеполусладкое,"Франция, 0.75 л.",ВинобезалкогольноеБонНовельбелоеполусладкое.png
38,ВинобезалкогольноеБонНовельгрейпфрутрозовоеполусладкое,"Франция, 0.75 л.",ВинобезалкогольноеБонНовельгрейпфрутрозовоеполусладкое.png
39,ВиноРистреттоАпулияIGTкрасноеполусухое,"Италия, 0.75 л., Апулия, 14%",ВиноРистреттоАпулияIGTкрасноеполусухое.png
40,ВиноМариЛунаСовиньонБланВердехобелоесухое,"Испания, 0.75 л., Кастилья Ла Манча, 12%",ВиноМариЛунаСовиньонБланВердехобелоесухое.png
41,ВиноВиллаСАннаТреббьяноРубиконеИГТбелоеполусухое,"Италия, 0.75 л., Эмилия-Романья, 11.5%",ВиноВиллаСАннаТреббьяноРубиконеИГТбелоеполусухое.png
42,ВиножемчужноеКашуФрешкубелоесухое,"Португалия, 0.75 л., Тежу, 11%",ВиножемчужноеКашуФрешкубелоесухое.png
43,ВиноПиноНуарДжояПеиДоккрасноесухое,"Франция, 0.75 л., Окситания, 12.5%",ВиноПиноНуарДжояПеиДоккрасноесухое.png
44,ВиножемчужноеКашуФрешкурозовоесухое,"Португалия, 0.75 л., Тежу, 11.5%",ВиножемчужноеКашуФрешкурозовоесухое.png
45,ВиноКуенМальбекБонардакрасноесухое,"Аргентина, 0.75 л., Мендоса, 13%",ВиноКуенМальбекБонардакрасноесухое.png
46,ВиноВакерисасГарначакрасноесухое,"Испания, 0.75 л., Кариньена, 14.5%",ВиноВакерисасГарначакрасноесухое.png
47,ВиноКуенШененШардонебелоесухое,"Аргентина, 0.75 л., Мендоса, 12%",ВиноКуенШененШардонебелоесухое.png
48,ВиноПиросманиКахуриГвинисМараникрасноеполусухое,"Грузия, 0.75 л., Кахети, 11.5%",ВиноПиросманиКахуриГвинисМараникрасноеполусухое.png
49,ВиноКорпусАструмкрасноеполусухое,"Чили, 0.75 л., Центральная Долина, 12%",ВиноКорпусАструмкрасноеполусухое.png
50,ВиноКорпусАструмбелоеполусухое,"Чили, 0.75 л., Центральная Долина, 12%",ВиноКорпусАструмбелоеполусухое.png
51,ВиноРтвелисиМукузаникрасноесухое,"Грузия, 0.75 л., Кахети, 12%",ВиноРтвелисиМукузаникрасноесухое.png
52,ВиноЧерсегиФюсерешбелоесухое,"Венгрия, 0.75 л., Дунай-Тиса, 11.5%",ВиноЧерсегиФюсерешбелоесухое.png
53,ВиноКювеБланбелоесухое,"Венгрия, 0.75 л., Дунай-Тиса, 11.5%",ВиноКювеБланбелоесухое.png
54,ВиноВиллаСАннаСанджовезеМаркеИГТкрасноеполусухое,"Италия, 0.75 л., Марке, 12%",ВиноВиллаСАннаСанджовезеМаркеИГТкрасноеполусухое.png
55,ВиноКиндзмараулиРтвелисикрасноеполусладкое,"Грузия, 0.75 л., Кахети, 12.5%",ВиноКиндзмараулиРтвелисикрасноеполусладкое.png
56,ВиноСантаЛусАльбаКарменеркрасноесухое,"Чили, 0.75 л., Центральная Долина, 13.5%",ВиноСантаЛусАльбаКарменеркрасноесухое.png
57,ВиноФинкаЛусонПтиВердокрасноесухое,"Испания, 0.75 л., Хумилья, 14.5%",ВиноФинкаЛусонПтиВердокрасноесухое.png
58,ВиноРомейраРезерваIGPЛиссабонкрасноеполусухое,"Португалия, 0.75 л., Лиссабон, 13%",ВиноРомейраРезерваIGPЛиссабонкрасноеполусухое.png
59,ВиноКуумбаСовиньонБланбелоесухое,"ЮАР, 0.75 л., Вестерн Кейп, 12.5%",ВиноКуумбаСовиньонБланбелоесухое.png
60,ВиноКуумбаПинотажкрасноеполусухое,"ЮАР, 0.75 л., Вестерн Кейп, 13.5%",ВиноКуумбаПинотажкрасноеполусухое.png
61,ВиноСаперавиБадагоникрасноесухое,"Грузия, 0.75 л., Кахети, 13%",ВиноСаперавиБадагоникрасноесухое.png
62,ВиноЦинандалиБадагонибелоесухое,"Грузия, 0.75 л., Кахети, 13%",ВиноЦинандалиБадагонибелоесухое.png
63,ВиноМолокоЛюбимойЖенщиныбелоеполусладкое,"Германия, 0.75 л., Рейнхессен, 9.5%",ВиноМолокоЛюбимойЖенщиныбелоеполусладкое.png
64,ВиноФонтеФортеБьянкоТерреДиКьетиАбруццоIGPбелоесухое,"Италия, 0.75 л., Абруццо, 12%",ВиноФонтеФортеБьянкоТерреДиКьетиАбруццоIGPбелоесухое.png
