,region,city,address,id,pic_url,name,category,link,price,all_prices
0,Владимирская область,Владимир,"ул. Университетская, 8-а",3855445,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/9c6/ee290rdn4rd2zvyfxj56y1ehtsecorx6/261_225_1/drakoha_290823_t.jpg,"Новогодний подарок Дракоша
Россия, 1 шт",Спецпредложения,https://krasnoeibeloe.ru/catalog/__14/__15/novogodniy_podarok_drakosha/,399.99 ₽,399.99 ₽; 
1,Владимирская область,Владимир,"ул. Университетская, 8-а",3842016,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/d48/qg1nmc4zqqwzc7t5k8m70octdldm9x86/261_225_1/barrister_sady_tomat.jpg,"Водка особая Барристер Симпл Молт
Россия, 0.5 л., 40%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vodka_nastoyki/vodka/vodka_osobaya_barrister_simpl_molt/,399.99 ₽,399.99 ₽; 
2,Владимирская область,Владимир,"ул. Университетская, 8-а",3630598,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/418/vqo69ob75p5flel305zdxfwd0bic8y4q/261_225_1/gvinis_marani_pirosmani_14122022.jpg,"Вино Пиросмани Кахури Гвинис Марани красное полусухое
Грузия, 0.75 л., Кахети, 11.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_pirosmani_kakhuri_gvinis_marani_krasnoe_polusukhoe/,399.99 ₽,399.99 ₽; 
3,Владимирская область,Владимир,"ул. Университетская, 8-а",3809904,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/740/37u1g5aiyhk79yl8mwcn9ytwfqlahtlf/261_225_1/gin_finch_091023.jpg,"Джин Финч Мэджик Аладдин
Россия, 0.5 л., 40%",Спецпредложения,https://krasnoeibeloe.ru/catalog/rom_jin_tequila_liquor/dzhin/dzhin_finch_medzhik_aladdin/,449.99 ₽,449.99 ₽; 
4,Владимирская область,Владимир,"ул. Университетская, 8-а",3659591,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/084/09pk63mtpjc1965bidnhqixqkcknvl8d/261_225_1/pietrame_red_semdry_10012023.jpg,"Вино Пьетраме Монтепульчано Д`Абруццо DOP красное полусухое
Италия, 0.75 л., Абруццо, 13%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_sortovoe_petrame_montepulchano_d_abrutstso_reg_abrutstso_dop_kr_p_sukh/,569.99 ₽,569.99 ₽; 
5,Владимирская область,Владимир,"ул. Университетская, 8-а",3816094,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/6aa/wpf7z5xo9hjrwn2bashziikxtrc2y49a/261_225_1/catahrsis_red_27072023.jpg,"Вино Катарсис Рэд Бленд красное сухое
Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_katarsis_red_blend_krasnoe_sukhoe/,599.99 ₽,599.99 ₽; 
6,Владимирская область,Владимир,"ул. Университетская, 8-а",3816093,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/076/2lwo9hwf7tptsb9xw18gowpm762tg5ft/261_225_1/catahrsis_dark_27072023.jpg,"Вино Катарсис Дарк Бленд красное сухое
Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_katarsis_dari_blend_krasnoe_sukhoe/,599.99 ₽,599.99 ₽; 
7,Владимирская область,Владимир,"ул. Университетская, 8-а",2884301,https://krasnoeibeloe.ru/upload/iblock/634/Luka-Maroni-2.jpg,"Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое
Италия, 0.75 л., Абруццо, 12.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_petrame_pino_gridzho_igp_zashch_geogr_uk_bel_sukh/,599.99 ₽,599.99 ₽; 
8,Владимирская область,Владимир,"ул. Университетская, 8-а",3779367,https://krasnoeibeloe.servicecdn.ru/local/templates/.default/img/offer.png,"Вино Гармония Винария Вера белое сухое
Босния и Герцеговина, 0.75 л., Требинье, 13.5%",Спецпредложения,https://krasnoeibeloe.ru/catalog/vino/vino_garmoniya_vinariya_vera_beloe_sukhoe/,689.99 ₽,689.99 ₽; 
9,Владимирская область,Владимир,"ул. Университетская, 8-а",3841029,https://krasnoeibeloe.servicecdn.ru/local/templates/.default/img/offer.png,"Напиток спиртной на основе коньяка Арарат со вкусом меда
Армения, 0.5 л., 30%",Спецпредложения,https://krasnoeibeloe.ru/catalog/konyak_armanyak_brendi/konyak/napitok_spirtnoy_na_osnove_konyaka_ararat_so_vkusom_meda/,1189.99 ₽,1189.99 ₽; 
